Flag,N,Rep,Tempo,RSS,Text,Cycles,Instructions,CacheReferences,CacheMisses,Branches,BranchMisses,L1Loads,L1LoadMisses,L2Access,L2Misses,L3Access,L3Misses
-O3,512,7,0.283500,18988,2633,1278645167,683398943,176966231,67860069,87117811,598956,143327578,70706683,71401150,29678055,NA,NA
-O3,512,8,0.282194,18920,2633,1224166294,673914123,176754748,67511691,86924592,695030,145693869,70657579,71680439,28987602,NA,NA
-O3,512,9,0.288184,18820,2633,1296997415,685128605,176308440,67691915,87046839,455982,141978521,70950168,71539967,29723475,NA,NA
-O3,512,10,0.289352,18956,2633,1306275371,687523485,175454439,68338985,86871590,531885,141771245,70924236,71255203,31895228,NA,NA
-O3,512,11,0.290395,18536,2633,1313597805,668404972,176095124,68864696,86469923,717790,148603512,70870523,71182144,33754762,NA,NA
-O3,512,12,0.289679,18672,2633,1305689790,682963028,176568684,68247864,86557036,565471,146636606,72588500,72655241,30516972,NA,NA
-O3,512,13,0.288665,18896,2633,1269384198,669184804,168739490,67304269,85924989,660668,147547219,72040562,72254155,32734022,NA,NA
-O3,512,14,0.283082,18548,2633,1276305934,685765524,175372287,67865709,86829928,504068,141137924,70841156,70955531,29864446,NA,NA
-O3,512,15,0.282329,18840,2633,1284212416,689243872,176131586,67522829,86454917,419493,140476335,70682299,71310430,29540318,NA,NA
-O3,512,16,0.282441,18932,2633,1282622336,689092858,176056739,67820522,87147896,472011,140372017,70567970,70955558,29847277,NA,NA
-O3,512,17,0.288600,18936,2633,1309589740,690176805,171924489,67875286,86281177,426849,140101848,71224798,71981807,34188567,NA,NA
-O3,512,18,0.230904,19044,2633,1056252453,663446763,175129494,66098534,86362044,453270,145791785,71901528,71813489,22493911,NA,NA
-O3,512,19,0.279620,18936,2633,1246744290,664954540,170173660,66255025,86422635,505836,147262187,73426728,73381337,30077977,NA,NA
-O3,512,20,0.289761,18988,2633,1310220930,655060029,174723233,68010302,86030169,667062,151399607,71279533,71276745,31167219,NA,NA
-O3,512,21,0.286663,18900,2633,1288516280,677675585,176033716,68052707,86915592,539771,143836529,70879257,70963708,30143073,NA,NA
-O3,512,22,0.286219,18712,2633,1287884372,683008455,174404879,68225917,86915487,545590,141991714,71038487,71388778,33072256,NA,NA
-O3,512,23,0.290546,18832,2633,1317564618,682398558,175429029,68036930,86210693,539581,143635276,71087572,71298191,31201621,NA,NA
-O3,512,24,0.283301,19112,2633,1273049515,666518104,175589821,67543260,87191321,697918,148356887,70831169,71556179,29698628,NA,NA
-O3,512,25,0.283284,19056,2633,1282378345,679930237,174770624,67523875,87069152,618748,144179182,71004765,71609473,30502672,NA,NA
-O3,512,26,0.259093,18968,2633,1170479310,665270756,177220858,68213056,86359459,612943,147473979,70255206,70430603,26381620,NA,NA
-O3,512,27,0.292513,18652,2633,1318368203,669254234,174816594,68402820,86312032,658588,147851454,71046643,71248605,32510758,NA,NA
-O3,512,28,0.287510,18704,2633,1285795071,661800745,176756318,68107681,86589359,670411,149939395,70616755,71055412,30029178,NA,NA
-O3,512,29,0.286173,18732,2633,1273090499,676906357,172204850,67285757,87021889,452385,143847940,72398776,72547732,31770214,NA,NA
-O3,512,30,0.286114,19036,2633,1294600445,677776356,174003391,67199151,87135560,487632,143862359,71850386,72190490,30536287,NA,NA
-Ofast,512,1,0.281805,18960,2717,1275486432,687586407,173946020,67447152,86788665,461151,140698781,71201526,71475876,29786823,NA,NA
-Ofast,512,2,0.264830,19140,2717,1197207553,679145066,174268528,68359296,86624744,478974,142966741,71626698,70572030,27453734,NA,NA
-Ofast,512,3,0.285992,18932,2717,1288653043,670120724,174310958,67514579,86627542,579093,146380620,71312454,71547171,30623816,NA,NA
-Ofast,512,4,0.255445,18844,2717,1159394874,691967801,176680748,66272224,84018861,423150,140955979,71520951,72842278,25282388,NA,NA
-Ofast,512,5,0.275368,19032,2717,1240015477,667072861,176376130,67162204,87713982,644305,147301898,71181223,71928296,28616074,NA,NA
-Ofast,512,6,0.287084,18696,2717,1273356398,687111685,176946182,68405446,87248585,578135,142137804,70521723,70848874,30187686,NA,NA
-Ofast,512,7,0.280859,18556,2717,1251073466,673045072,174748171,67457526,87085364,655176,146186225,71288502,71708667,29658183,NA,NA
-Ofast,512,8,0.276015,18884,2717,1237858091,688709386,174019343,68127327,87783713,573896,140290698,71094479,71143039,31017479,NA,NA
-Ofast,512,9,0.286596,18804,2717,1299793312,685792372,175386530,67810038,86523145,509976,141657992,71006685,71638631,31240774,NA,NA
-Ofast,512,10,0.285920,18840,2717,1299253421,683268034,175596739,67720578,87008973,463545,142078563,71024264,71638329,31362877,NA,NA
-Ofast,512,11,0.290523,19004,2717,1315789119,691674144,175643142,68566059,86530554,504705,140643565,70859050,71089095,32729038,NA,NA
-Ofast,512,12,0.290703,18816,2717,1308495673,668653376,174163411,68253889,85509479,625851,147941136,71653900,71503489,31971077,NA,NA
-Ofast,512,13,0.292460,18588,2717,1325751891,663944486,172773638,68078275,85811925,697454,148382538,71409630,71770121,34692076,NA,NA
-Ofast,512,14,0.284946,18860,2717,1296275882,683000259,175827138,67703496,87114571,504242,141968566,70659942,71275212,30397968,NA,NA
-Ofast,512,15,0.287010,18636,2717,1288287150,688006451,175276961,67538657,86755874,520918,141371244,70928447,71550271,30251232,NA,NA
-Ofast,512,16,0.283072,18908,2717,1277338907,684108366,174721791,67316932,87104415,578655,142600615,71260670,71997620,30857833,NA,NA
-Ofast,512,17,0.265833,18912,2717,1208524059,660299453,170148794,65930037,85590507,579916,148846685,72614650,72831898,29156078,NA,NA
-Ofast,512,18,0.286937,19080,2717,1291360718,685666271,172098681,67498219,86761573,549418,141610685,72313920,72437978,32409088,NA,NA
-Ofast,512,19,0.286181,18796,2717,1268513871,683462021,172529042,67955347,87566231,499800,142236804,71169871,71429945,31330291,NA,NA
-Ofast,512,20,0.291292,19176,2717,1324199886,661083891,172708788,68209646,85929872,606567,149171415,71629448,71499920,33620257,NA,NA
-Ofast,512,21,0.290130,18860,2717,1310190599,688740406,173908497,68608524,86815526,527805,141250871,71246167,71476783,33891163,NA,NA
-Ofast,512,22,0.276536,18676,2717,1258190923,656528048,172175617,67111029,87155395,618500,148500619,71550374,71418072,29844489,NA,NA
-Ofast,512,23,0.292330,18616,2717,1304539292,686908670,174055250,68507749,85748662,527975,142719988,71848143,71734028,32967082,NA,NA
-Ofast,512,24,0.287072,18608,2717,1291690430,668625635,174597523,68401053,87473728,612686,147354915,71681478,70979975,29840332,NA,NA
