group1,group2,meandiff,p-adj,lower,upper,reject,Metrica,N
-O1,-O2,-640301.7,0.6437,-1946829.4491,666226.0491,False,L2Misses,256
-O1,-O3,-1731670.2,0.0,-2670307.4439,-793032.9561,True,L2Misses,256
-O1,-Ofast,-1521119.2,0.0002,-2459756.4439,-582481.9561,True,L2Misses,256
-O2,-O3,-1091368.5,0.303,-2665511.0127,482774.0127,False,L2Misses,256
-O2,-Ofast,-880817.5,0.5198,-2454960.0127,693325.0127,False,L2Misses,256
-O3,-Ofast,210551.0,0.9905,-1074730.9795,1495832.9795,False,L2Misses,256
-O0,-O1,85183080.4,0.0,78988108.2528,91378052.5472,True,L2Misses,512
-O0,-O2,16866741.2333,0.0,10671769.0862,23061713.3805,True,L2Misses,512
-O0,-O3,15646770.1667,0.0,9451798.0195,21841742.3138,True,L2Misses,512
-O0,-Ofast,15870928.1,0.0,9675955.9528,22065900.2472,True,L2Misses,512
-O1,-O2,-68316339.1667,0.0,-74511311.3138,-62121367.0195,True,L2Misses,512
-O1,-O3,-69536310.2333,0.0,-75731282.3805,-63341338.0862,True,L2Misses,512
-O1,-Ofast,-69312152.3,0.0,-75507124.4472,-63117180.1528,True,L2Misses,512
-O2,-O3,-1219971.0667,0.9825,-7414943.2138,4975001.0805,False,L2Misses,512
-O2,-Ofast,-995813.1333,0.9919,-7190785.2805,5199159.0138,False,L2Misses,512
-O3,-Ofast,224157.9333,1.0,-5970814.2138,6419130.0805,False,L2Misses,512
-O0,-O1,692390499.8333,0.0,664777372.7606,720003626.906,True,L2Misses,1024
-O0,-O2,115896170.2667,0.0,88283043.194,143509297.3394,True,L2Misses,1024
-O0,-O3,119289884.6333,0.0,91676757.5606,146903011.706,True,L2Misses,1024
-O0,-Ofast,119515649.3333,0.0,91902522.2606,147128776.406,True,L2Misses,1024
-O1,-O2,-576494329.5667,0.0,-604107456.6394,-548881202.494,True,L2Misses,1024
-O1,-O3,-573100615.2,0.0,-600713742.2727,-545487488.1273,True,L2Misses,1024
-O1,-Ofast,-572874850.5,0.0,-600487977.5727,-545261723.4273,True,L2Misses,1024
-O2,-O3,3393714.3667,0.9971,-24219412.706,31006841.4394,False,L2Misses,1024
-O2,-Ofast,3619479.0667,0.9963,-23993648.006,31232606.1394,False,L2Misses,1024
-O3,-Ofast,225764.7,1.0,-27387362.3727,27838891.7727,False,L2Misses,1024
-O0,-O1,16618016361.4,0.0,16483850773.5277,16752181949.2723,True,L2Misses,2048
-O0,-O2,4221151043.8,0.0,4086985455.9277,4355316631.6723,True,L2Misses,2048
-O0,-O3,4203036955.5,0.0,4068871367.6277,4337202543.3723,True,L2Misses,2048
-O0,-Ofast,4195805481.8,0.0,4061639893.9277,4329971069.6723,True,L2Misses,2048
-O1,-O2,-12396865317.6,0.0,-12531030905.4723,-12262699729.7277,True,L2Misses,2048
-O1,-O3,-12414979405.9,0.0,-12549144993.7723,-12280813818.0277,True,L2Misses,2048
-O1,-Ofast,-12422210879.6,0.0,-12556376467.4723,-12288045291.7277,True,L2Misses,2048
-O2,-O3,-18114088.3,0.9952,-152279676.1723,116051499.5723,False,L2Misses,2048
-O2,-Ofast,-25345562.0,0.983,-159511149.8723,108820025.8723,False,L2Misses,2048
-O3,-Ofast,-7231473.7,0.9999,-141397061.5723,126934114.1723,False,L2Misses,2048
